Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,309,9.2
CENSUS,2022,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,7257,34.1
CENSUS,2022,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,341591,12.7
CENSUS,2022,YEAR,,STATE,FLORIDA,12,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,382803,14.5
CENSUS,2022,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,1583,23.5
CENSUS,2022,YEAR,,STATE,HAWAII,15,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,9649,1.0
CENSUS,2022,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,549,42.1
CENSUS,2022,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,69,41.9
CENSUS,2022,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,11,57.9
CENSUS,2022,YEAR,,STATE,TEXAS,48,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,27060,6.8
CENSUS,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,190,35.2
CENSUS,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,10031,12.2
CENSUS,2017,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,312162,6.7
CENSUS,2017,YEAR,,STATE,FLORIDA,12,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,474540,5.1
CENSUS,2017,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,248,(H)
CENSUS,2017,YEAR,,STATE,HAWAII,15,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,891,8.0
CENSUS,2017,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,684,19.2
CENSUS,2017,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,2,(H)
CENSUS,2017,YEAR,,STATE,TEXAS,48,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,26188,13.4
CENSUS,2012,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,231,9.4
CENSUS,2012,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,17830,62.9
CENSUS,2012,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,5,10.1
CENSUS,2012,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,293387,2.9
CENSUS,2012,YEAR,,STATE,FLORIDA,12,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,539181,3.0
CENSUS,2012,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,25,11.3
CENSUS,2012,YEAR,,STATE,HAWAII,15,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,928,17.7
CENSUS,2012,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,3,70.7
CENSUS,2012,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,957,21.4
CENSUS,2012,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,246,14.4
CENSUS,2012,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,2,(H)
CENSUS,2012,YEAR,,STATE,OREGON,41,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,71,80.8
CENSUS,2012,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,4,66.3
CENSUS,2012,YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,6,60.6
CENSUS,2012,YEAR,,STATE,TEXAS,48,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,24778,29.0
CENSUS,2012,YEAR,,STATE,WASHINGTON,53,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,1,25.9
CENSUS,2007,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,109,
CENSUS,2007,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,18261,
CENSUS,2007,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,303101,
CENSUS,2007,YEAR,,STATE,FLORIDA,12,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,654747,
CENSUS,2007,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,6,
CENSUS,2007,YEAR,,STATE,HAWAII,15,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,893,
CENSUS,2007,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,936,
CENSUS,2007,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,6,
CENSUS,2007,YEAR,,STATE,TEXAS,48,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,27701,
CENSUS,2002,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,33129,
CENSUS,2002,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,342053,
CENSUS,2002,YEAR,,STATE,FLORIDA,12,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,871733,
CENSUS,2002,YEAR,,STATE,HAWAII,15,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,641,
CENSUS,2002,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,1397,
CENSUS,2002,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,72,
CENSUS,2002,YEAR,,STATE,TEXAS,48,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,30299,
CENSUS,1997,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,43619,
CENSUS,1997,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,330951,
CENSUS,1997,YEAR,,STATE,FLORIDA,12,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,971577,
CENSUS,1997,YEAR,,STATE,HAWAII,15,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,651,
CENSUS,1997,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,926,
CENSUS,1997,YEAR,,STATE,TEXAS,48,,,,,,,0,,CITRUS TOTALS,CITRUS TOTALS - ACRES BEARING & NON-BEARING,TOTAL,NOT SPECIFIED,32130,
